method_id,method_name,image,attack,phase,psnr,ssim,nc,ncc,ber,embed_time_sec,extract_time_sec,proposal_repeat_factor,proposal_usable_blocks,proposal_total_blocks,proposal_q4_used,proposal_h_used,proposal_skip_used
proposal,Proposal_QH_DWT_Hess,airplane,no_attack,before_attack,71.15344695239028,0.9999610677059277,0.9946773221932681,0.9892741487041742,0.00537109375,14.117429451000135,0.4888538489999519,3,12288,49152,5866,5260,1162
proposal,Proposal_QH_DWT_Hess,airplane,jpeg_q90,after_attack,34.075292416037335,0.9424403967616845,0.8058537296651337,0.5793258737502824,0.21435546875,14.117429451000135,0.5281465769999159,3,12288,49152,5866,5260,1162
proposal,Proposal_QH_DWT_Hess,airplane,jpeg_q70,after_attack,32.26501771852191,0.9138603524627147,0.8054287464789435,0.573655443741112,0.21875,14.117429451000135,0.4684377530002166,3,12288,49152,5866,5260,1162
proposal,Proposal_QH_DWT_Hess,airplane,gaussian_noise_sigma5,after_attack,34.142480420675795,0.8323743659827132,0.7591145381845473,0.4268053156981926,0.3046875,14.117429451000135,0.4605770670000311,3,12288,49152,5866,5260,1162
proposal,Proposal_QH_DWT_Hess,airplane,salt_pepper_0p005,after_attack,28.06929647140226,0.8852413507768242,0.9807379887538333,0.9608964658980286,0.019775390625,14.117429451000135,0.47698313099999723,3,12288,49152,5866,5260,1162
proposal,Proposal_QH_DWT_Hess,airplane,median_3x3,after_attack,34.70572945496405,0.9433256366849955,0.823584186890671,0.6317435208454704,0.18505859375,14.117429451000135,0.5181200690003607,3,12288,49152,5866,5260,1162
proposal,Proposal_QH_DWT_Hess,airplane,gaussian_blur_r1,after_attack,31.191516117229177,0.9376437268634605,0.8372369182346883,0.6605836077729186,0.170654296875,14.117429451000135,0.47224077800001396,3,12288,49152,5866,5260,1162
proposal,Proposal_QH_DWT_Hess,airplane,hist_equalization,after_attack,11.6232035803537,0.5475580921859402,0.7831070516564033,0.4953784304574903,0.269287109375,14.117429451000135,0.4801286239999172,3,12288,49152,5866,5260,1162
proposal,Proposal_QH_DWT_Hess,airplane,rotation_2deg,after_attack,16.149865584176403,0.5322026711553968,0.7541843670558859,0.4435461490848374,0.285888671875,14.117429451000135,0.4483542689999922,3,12288,49152,5866,5260,1162
proposal,Proposal_QH_DWT_Hess,airplane,crop_resize_90,after_attack,15.47453610115089,0.47990607781158373,0.7577686428211152,0.45791800360626855,0.27734375,14.117429451000135,0.44472097700008817,3,12288,49152,5866,5260,1162
proposal,Proposal_QH_DWT_Hess,airplane,gamma_1p2,after_attack,27.282043256216667,0.9924577232237572,0.9317660980064976,0.857579576275308,0.07421875,14.117429451000135,0.44967808999990666,3,12288,49152,5866,5260,1162
