method_id,method_name,image,attack,phase,psnr,ssim,nc,ncc,ber,embed_time_sec,extract_time_sec
gaata2022_dwt_hess_fwa,Gaata2022_DWT_Hess_FWA,airplane,no_attack,before_attack,53.93901407498156,0.99737150391341,0.9412056036983241,0.8909993993980808,0.057373046875,2.4411608660000184,1.9310530349998771
gaata2022_dwt_hess_fwa,Gaata2022_DWT_Hess_FWA,airplane,jpeg_q90,after_attack,34.07187838040413,0.9421717149125762,0.07213622950185235,0.030380723207498194,0.50048828125,2.4411608660000184,2.1470910519999507
gaata2022_dwt_hess_fwa,Gaata2022_DWT_Hess_FWA,airplane,jpeg_q70,after_attack,32.26684881121013,0.9138130053515209,0.0611223650764112,0.03008078384032429,0.5009765625,2.4411608660000184,2.131031804000031
gaata2022_dwt_hess_fwa,Gaata2022_DWT_Hess_FWA,airplane,gaussian_noise_sigma5,after_attack,34.098141791198785,0.8309874257465516,0.5108100203187399,0.3118970564831834,0.3779296875,2.4411608660000184,1.9044316469999103
gaata2022_dwt_hess_fwa,Gaata2022_DWT_Hess_FWA,airplane,salt_pepper_0p005,after_attack,28.058331453159422,0.8831340440022678,0.8671889441230823,0.7662042204656133,0.125,2.4411608660000184,1.96819917300013
gaata2022_dwt_hess_fwa,Gaata2022_DWT_Hess_FWA,airplane,median_3x3,after_attack,34.698396135117804,0.9430220556481023,0.07482994080673411,0.04142643940846653,0.5,2.4411608660000184,2.264908552999941
gaata2022_dwt_hess_fwa,Gaata2022_DWT_Hess_FWA,airplane,gaussian_blur_r1,after_attack,31.190227876742462,0.9374711554717893,0.0,0.0,0.502685546875,2.4411608660000184,2.0311684799999057
gaata2022_dwt_hess_fwa,Gaata2022_DWT_Hess_FWA,airplane,hist_equalization,after_attack,11.62457177671518,0.5433543388491345,0.5949780882752218,0.3166380226252556,0.350830078125,2.4411608660000184,1.99307650500009
gaata2022_dwt_hess_fwa,Gaata2022_DWT_Hess_FWA,airplane,rotation_2deg,after_attack,16.14901882971743,0.5300572513190808,0.17140652772493442,0.10269722139496497,0.48828125,2.4411608660000184,2.1148314970000683
gaata2022_dwt_hess_fwa,Gaata2022_DWT_Hess_FWA,airplane,crop_resize_90,after_attack,15.474038806695996,0.47842693706161343,0.08314862062607516,0.026417552085029737,0.500244140625,2.4411608660000184,2.0340012260001004
gaata2022_dwt_hess_fwa,Gaata2022_DWT_Hess_FWA,airplane,gamma_1p2,after_attack,27.27006890007283,0.9892075055502948,0.9616245402464042,0.9268650671576821,0.037841796875,2.4411608660000184,1.9399882000000161
