method_id,method_name,image,attack,phase,psnr,ssim,nc,ncc,ber,embed_time_sec,extract_time_sec,proposal_repeat_factor,proposal_usable_blocks,proposal_total_blocks,proposal_q4_used,proposal_h_used,proposal_skip_used
proposal,Proposal_QH_DWT_Hess,airplane,no_attack,before_attack,75.92133793550987,0.999986946808852,0.9306358089072911,0.8709120196448737,0.0673828125,4.458579778999592,0.2046077680001872,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,jpeg_q50,after_attack,31.061486139944616,0.8969817539268149,0.7040328820184991,0.39510732638412355,0.302490234375,4.458579778999592,0.16911459099992499,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,jpeg_q30,after_attack,30.061462934039525,0.8712573967521635,0.7086241122347061,0.40392326179451915,0.298095703125,4.458579778999592,0.18361905199981265,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,gaussian_noise_sigma10,after_attack,28.13551959584757,0.6015445212572182,0.6535808464569467,0.24890422836613826,0.376708984375,4.458579778999592,0.174324383000112,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,salt_pepper_0p01,after_attack,24.97844520473144,0.7843342852178369,0.8747546149020304,0.7586137857264879,0.121826171875,4.458579778999592,0.18489226000019698,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,median_5x5,after_attack,29.985472507027882,0.8841889351823236,0.6965029712290607,0.42437559830612426,0.289306640625,4.458579778999592,0.170273977999841,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,gaussian_blur_r2,after_attack,26.179771688231178,0.8226845244936416,0.6818098232271821,0.391270586791562,0.305419921875,4.458579778999592,0.17865343599987682,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,motion_blur_h9,after_attack,26.876562623867567,0.8384168330553895,0.6894311242629623,0.39767837323123945,0.3017578125,4.458579778999592,0.17155376700020497,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,rotation_5deg,after_attack,13.00593762711873,0.4487353217166725,0.648899675639992,0.28706878501226923,0.3564453125,4.458579778999592,0.16813754299982975,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,translation_8_8,after_attack,13.81571983547742,0.45278659199842036,0.6592654339497744,0.2980027673372853,0.35107421875,4.458579778999592,0.17383869000013874,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,resize_0p5,after_attack,30.780328349783822,0.9352825696980412,0.7163665519678805,0.4440429941805798,0.2783203125,4.458579778999592,0.17769577199987907,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,crop_resize_90,after_attack,15.474558937330254,0.47992144811249576,0.6548075165484507,0.3086122343010589,0.345703125,4.458579778999592,0.16968655400023636,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,shear_x_0p10,after_attack,12.453029473285062,0.4896720139368507,0.6610827385294337,0.3119780778667864,0.343994140625,4.458579778999592,0.1773390860003019,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,row_col_delete_8_8,after_attack,24.63632025316688,0.8093704591174135,0.683282638959905,0.3712810399891593,0.314453125,4.458579778999592,0.16877256999987367,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,mosaic_factor16,after_attack,17.985861149050365,0.5680636688099473,0.7505940572155231,0.48946369575670773,0.25537109375,4.458579778999592,0.17082276900009674,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,posterize_bits3,after_attack,22.986531588718403,0.8390415110683351,0.7476218671572168,0.5002961146221512,0.25,4.458579778999592,0.17843938599980902,1,4096,49152,1954,1763,379
proposal,Proposal_QH_DWT_Hess,airplane,color_quantization_32,after_attack,30.048493138861634,0.9372748902838679,0.7191398202884974,0.4277855856223114,0.2861328125,4.458579778999592,0.2071598460001951,1,4096,49152,1954,1763,379
