method_id,method_name,image,attack,phase,psnr,ssim,nc,ncc,ber,embed_time_sec,extract_time_sec
kumar2021,Kumar2021_LWT_Entropy,airplane,no_attack,before_attack,70.73257790724323,0.9999390853351143,1.0,1.0,0.0,0.17788710900003935,0.09560478999992483
kumar2021,Kumar2021_LWT_Entropy,airplane,jpeg_q90,after_attack,34.07621825902633,0.9424455254076477,0.8830098127780498,0.7646407778180335,0.11767578125,0.17788710900003935,0.11047485299991422
kumar2021,Kumar2021_LWT_Entropy,airplane,jpeg_q70,after_attack,32.26663741481345,0.9138305464405008,0.8817370251730093,0.7642866035931728,0.117919921875,0.17788710900003935,0.10424395400013964
kumar2021,Kumar2021_LWT_Entropy,airplane,gaussian_noise_sigma5,after_attack,34.142777363789804,0.8323764642835316,0.784885612854371,0.5693658342799854,0.21533203125,0.17788710900003935,0.1369884399998682
kumar2021,Kumar2021_LWT_Entropy,airplane,salt_pepper_0p005,after_attack,28.069275400538825,0.8852246943124373,0.9897960352163466,0.9794921705140899,0.01025390625,0.17788710900003935,0.1197440700000243
kumar2021,Kumar2021_LWT_Entropy,airplane,median_3x3,after_attack,34.70581378051996,0.943327840345678,0.8783094745369515,0.7553647679845787,0.122314453125,0.17788710900003935,0.12043261099984193
kumar2021,Kumar2021_LWT_Entropy,airplane,gaussian_blur_r1,after_attack,31.191473434162567,0.9376488774745994,0.9030238495718442,0.8067779384324797,0.0966796875,0.17788710900003935,0.11965702399993461
kumar2021,Kumar2021_LWT_Entropy,airplane,hist_equalization,after_attack,11.623246837046961,0.5474396655692851,0.7873787335492012,0.5722513142776168,0.2138671875,0.17788710900003935,0.10500391399978071
kumar2021,Kumar2021_LWT_Entropy,airplane,rotation_2deg,after_attack,16.149876555712236,0.5321812476035235,0.8091552698503258,0.6171938536381595,0.19140625,0.17788710900003935,0.11128385300003174
kumar2021,Kumar2021_LWT_Entropy,airplane,crop_resize_90,after_attack,15.47456388024203,0.4799161442782894,0.8423373621291089,0.6835964760843528,0.158203125,0.17788710900003935,0.11194791799994164
kumar2021,Kumar2021_LWT_Entropy,airplane,gamma_1p2,after_attack,27.281956504889205,0.9924298837592134,1.0,1.0,0.0,0.17788710900003935,0.11153435699998226
