method_id,method_name,image,attack,phase,psnr,ssim,nc,ncc,ber,embed_time_sec,extract_time_sec
mahto2022_firefly_dual,Mahto2022_Firefly_Dual,airplane,no_attack,before_attack,41.53428303210869,0.9974541204036381,1.0,1.0,0.0,0.10850619500001812,0.05176301500000591
mahto2022_firefly_dual,Mahto2022_Firefly_Dual,airplane,jpeg_q90,after_attack,33.27488100549513,0.9420506285792646,1.0,1.0,0.0,0.10850619500001812,0.11552440599984948
mahto2022_firefly_dual,Mahto2022_Firefly_Dual,airplane,jpeg_q70,after_attack,31.73818752375578,0.9137613165435307,1.0,1.0,0.0,0.10850619500001812,0.11507032000008621
mahto2022_firefly_dual,Mahto2022_Firefly_Dual,airplane,gaussian_noise_sigma5,after_attack,33.417003796989924,0.8318758507920937,1.0,1.0,0.0,0.10850619500001812,0.1076935210001011
mahto2022_firefly_dual,Mahto2022_Firefly_Dual,airplane,salt_pepper_0p005,after_attack,27.879115702481002,0.8842817289490782,1.0,1.0,0.0,0.10850619500001812,0.05717180599981475
mahto2022_firefly_dual,Mahto2022_Firefly_Dual,airplane,median_3x3,after_attack,33.96474601228471,0.9444940411172197,0.9198609270796572,0.8379332922809838,0.0810546875,0.10850619500001812,0.13027719399997295
mahto2022_firefly_dual,Mahto2022_Firefly_Dual,airplane,gaussian_blur_r1,after_attack,31.047102908486913,0.9394228420139704,0.014132635837281688,-0.9755931887440659,0.98779296875,0.10850619500001812,0.12693956200018874
mahto2022_firefly_dual,Mahto2022_Firefly_Dual,airplane,hist_equalization,after_attack,11.689838001215765,0.5466329652413786,0.5918949961842626,0.16398472610062098,0.41796875,0.10850619500001812,0.13326557300001696
mahto2022_firefly_dual,Mahto2022_Firefly_Dual,airplane,rotation_2deg,after_attack,16.1053924735017,0.5261801657119661,0.9922560044664102,0.9843909578192824,0.0078125,0.10850619500001812,0.1248193579999679
mahto2022_firefly_dual,Mahto2022_Firefly_Dual,airplane,crop_resize_90,after_attack,15.432897913851797,0.4745007698531422,0.9876746106443398,0.975129427633703,0.012451171875,0.10850619500001812,0.12275235700008125
mahto2022_firefly_dual,Mahto2022_Firefly_Dual,airplane,gamma_1p2,after_attack,27.895112646941904,0.9883032855587374,0.5707755391090317,0.12048769634350594,0.439697265625,0.10850619500001812,0.1135910860000422
